"","Style","Artist","Painting","URL"
"82","Symbolism","Gustave Moreau ","The Sphinx","https://uploads1.wikiart.org/images/gustave-moreau/the-sphinx-1864.jpg!Large.jpg"
"83","Surrealism","Boleslas Biegas ","Horizon","https://uploads2.wikiart.org/00233/images/boleslas-biegas/horizon.jpg!Large.jpg"
"84","Surrealism","Boleslas Biegas ","Scene fantastique","https://uploads3.wikiart.org/00233/images/boleslas-biegas/sc-ne-fantastique-huile-sur-panneau.jpg!Large.jpg"
"85","Surrealism","Salvador Dali","Shirley Temple","https://uploads8.wikiart.org/images/salvador-dali/shirley-temple.jpg!Large.jpg"
"86","Surrealism","Salvador Dali","The Persistence of Memory","https://uploads6.wikiart.org/images/salvador-dali/the-persistence-of-memory-1931.jpg!Large.jpg"
"87","Surrealism","Joan Miro","The Tilled Field","https://uploads2.wikiart.org/images/joan-miro/the-tilled-field-1924.jpg!Large.jpg"
"88","Surrealism","Joan Miro","Harlequin's Carnival","https://uploads6.wikiart.org/images/joan-miro/harlequin-s-carnival-1925.jpg!Large.jpg"
"89","Surrealism","Pierre Roy ","Danger on the Stairs","https://uploads5.wikiart.org/00280/images/pierre-roy/danger-on-the-stairs-1927-28.jpg!Large.jpg"
"90","Surrealism","Pierre Roy ","Proue de naivre et papillons","https://uploads5.wikiart.org/images/pierre-roy/proue-de-naivre-et-papillons-1925.jpg"
"91","Surrealism","Rene Magritte","The treachery of images (This is not a pipe)","https://uploads8.wikiart.org/images/rene-magritte/the-treachery-of-images-this-is-not-a-pipe-1948(2).jpg!Large.jpg"
"92","Surrealism","Rene Magritte","The lovers","https://uploads3.wikiart.org/images/rene-magritte/the-lovers-1928(1).jpg!Large.jpg"
"93","Surrealism","Frida Kahlo","Henry Ford Hospital (The Flying Bed)","https://uploads7.wikiart.org/images/magdalena-carmen-frieda-kahlo-y-calder%C3%B3n-de-rivera/henry-ford-hospital-the-flying-bed-1932.jpg!Large.jpg"
"94","Surrealism","Frida Kahlo","The Love Embrace of the Universe, the Earth (Mexico), Myself, Diego and Senor Xolotl","https://uploads7.wikiart.org/images/magdalena-carmen-frieda-kahlo-y-calder%C3%B3n-de-rivera/the-love-embrace-of-the-universe-the-earth-mexico-myself-diego-and-se%C3%B1or-x%C3%B3lotl-1949.jpg!Large.jpg"
"95","Metaphysical Art","Carlo Carra ","The Enchanted Chamber","https://uploads8.wikiart.org/images/carlo-carra/the-enchanted-chamber-1917.jpg"
"96","Metaphysical Art","Carlo Carra ","La composizione TA","https://uploads6.wikiart.org/images/carlo-carra/la-composizione-ta-1916.jpg!Large.jpg"
"97","Metaphysical Art","Felice Casorati ","Silvana Cenni","https://uploads5.wikiart.org/images/felice-casorati/silvana-cenni-1922.jpg!Large.jpg"
"98","Metaphysical Art","Felice Casorati ","Beethoven","https://uploads1.wikiart.org/images/felice-casorati/beethoven-1928.jpg!Large.jpg"
"99","Metaphysical Art","Mario Sironi ","White horse and dock","https://uploads0.wikiart.org/images/mario-sironi/white-horse-and-dock-1920.jpg!Large.jpg"
"100","Metaphysical Art","Mario Sironi ","Cityscape with truck","https://uploads4.wikiart.org/images/mario-sironi/cityscape-with-truck.jpg!Large.jpg"
